PollN,ValidBallot,InvalBallot,TotalVote,EligVoter,TotalPop,PerEligVoter,PerActVote,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew: Kuo.Min.Tang","謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang: Dem.Prog.Party",AName,ANameE
0,13103963,117646,13221609,17321622,22925311,75.56,76.33,7659014,5444949,全國,National
0,2226334,21169,2247503,2878477,3789488,75.96,78.08,1359419,866915,臺北縣,Taipei County
0,1604802,12807,1617609,2042805,2625359,77.81,79.19,1011546,593256,臺北市,Taipei City
0,1073018,10330,1083348,1396390,1928968,72.39,77.58,693602,379416,桃園縣,Taoyuan County
0,909619,7112,916731,1163546,1518568,76.62,78.79,469252,440367,高雄市,Kaohsiung City
0,859404,8761,868165,1135237,1548435,73.32,76.47,505698,353706,臺中縣,Taichung County
0,728834,7558,736392,981262,1313709,74.69,75.05,419700,309134,彰化縣,Changhua County
0,727233,5859,733092,953610,1243944,76.66,76.88,353333,373900,高雄縣,Kaohsiung County
0,631160,5614,636774,854240,1105079,77.3,74.54,276751,354409,臺南縣,Tainan County
0,592730,5836,598566,769926,1052946,73.12,77.74,365979,226751,臺中市,Taichung City
0,497100,3823,500923,679205,889806,76.33,73.75,247305,249795,屏東縣,Pingtung County
0,439849,3843,443692,578159,763489,75.73,76.74,223034,216815,臺南市,Tainan City
0,387263,3451,390714,557704,725949,76.82,70.06,187705,199558,雲林縣,Yunlin County
0,326073,3290,329363,417756,546276,76.47,78.84,189109,136964,板橋市,Banqiao City
0,319864,2974,322838,420176,559802,75.06,76.83,227069,92795,苗栗縣,Miaoli County
0,306436,2936,309372,427808,551498,77.57,72.32,139603,166833,嘉義縣,Chiayi County
0,289585,2467,292052,404968,533494,75.91,72.12,179630,109955,南投縣,Nantou County
0,281623,2723,284346,358433,494225,72.52,79.33,208445,73178,新竹縣,Hsinchu County
0,257557,2674,260231,324162,409906,79.08,80.28,174613,82944,中和市,Zhonghe City
