V1,V2,V3,V4,V5,AName
0,0,0,0,0,全國
1,0,0,0,0,臺北市
2,0,0,0,0,新北市
3,0,0,0,0,臺中市
4,0,0,0,0,臺南市
5,0,0,0,0,高雄市
6,1,0,0,0,宜蘭縣
6,2,0,0,0,桃園縣
6,3,0,0,0,新竹縣
6,4,0,0,0,苗栗縣
6,5,0,0,0,彰化縣
6,6,0,0,0,南投縣
6,7,0,0,0,雲林縣
6,8,0,0,0,嘉義縣
6,9,0,0,0,屏東縣
6,10,0,0,0,臺東縣
6,11,0,0,0,花蓮縣
6,12,0,0,0,澎湖縣
6,13,0,0,0,基隆市
6,14,0,0,0,新竹市
6,15,0,0,0,嘉義市
7,1,0,0,0,金門縣
7,2,0,0,0,連江縣
1,0,0,1,0,北投區
2,0,0,1,0,石門區
3,0,0,1,0,大甲區
4,0,0,1,0,後壁區
5,0,0,1,0,桃源區
6,1,0,1,0,宜蘭市
6,2,0,1,0,蘆竹鄉
6,3,0,1,0,竹北市
6,4,0,1,0,竹南鎮
6,5,0,1,0,伸港鄉
6,6,0,1,0,草屯鎮
6,7,0,1,0,麥寮鄉
6,8,0,1,0,六腳鄉
6,9,0,1,0,里港鄉
6,10,0,1,0,臺東市
6,11,0,1,0,花蓮市
6,12,0,1,0,馬公市
6,13,0,1,0,中正區
6,14,0,1,0,東區
6,15,0,1,0,東區
7,1,0,1,0,金城鎮
7,2,0,1,0,南竿鄉
1,0,0,2,0,士林區
2,0,0,2,0,三芝區
3,0,0,2,0,大安區
4,0,0,2,0,白河區
5,0,0,2,0,那瑪夏區
6,1,0,2,0,羅東鎮
6,2,0,2,0,龜山鄉
6,3,0,2,0,竹東鎮
6,4,0,2,0,造橋鄉
6,5,0,2,0,線西鄉
6,6,0,2,0,國姓鄉
6,7,0,2,0,臺西鄉
6,8,0,2,0,東石鄉
6,9,0,2,0,高樹鄉
6,10,0,2,0,成功鎮
6,11,0,2,0,新城鄉
6,12,0,2,0,湖西鄉
6,13,0,2,0,信義區
6,14,0,2,0,北區
6,15,0,2,0,西區
7,1,0,2,0,金寧鄉
7,2,0,2,0,北竿鄉
1,0,0,3,0,大同區
2,0,0,3,0,淡水區
3,0,0,3,0,外埔區
