ValidBallot,InvalBallot,TotalVote,EligVoter,TotalPop,PerEligVoter,PerActVote,"陳水扁 Chen Shui-bian, 呂秀蓮 Annette Lu: Dem.Prog.Party","連戰 Lien Chan, 宋楚瑜 James Soong: Kuo.Min.Tang",AName,ANameE
12914422,337297,13251719,16507179,22573965,73.12,80.28,6442452,6471970,"全國",National
1588249,30789,1619038,1981562,2695294,73.52,81.71,897870,690379,"臺北市",Taipei City
899073,15012,914085,1117380,1517289,73.64,81.81,398769,500304,"高雄市",Kaohsiung City
2130880,52948,2183828,2685778,3858942,69.6,81.31,1130615,1000265,"臺北縣",Taipei County
256209,8885,265094,337886,452967,74.59,78.46,108361,147848,"宜蘭縣",Yilan County
1004458,30838,1035296,1273026,1765854,72.09,81.33,555688,448770,"桃園縣",Taoyuan County
257603,6737,264340,323148,434218,74.42,81.8,165027,92576,"新竹縣",Hsinchu County
314486,10868,325354,407634,546229,74.63,79.82,191059,123427,"苗栗縣",Miaoli County
850561,21270,871831,1070877,1441975,74.26,81.41,410082,440479,"臺中縣",Taichung County
733424,26288,759712,947526,1271684,74.51,80.18,350128,383296,"彰化縣",Changhua County
300328,8784,309112,396464,532261,74.49,77.97,153913,146415,"南投縣",Nantou County
403035,16748,419783,552795,741745,74.53,75.94,159906,243129,"雲林縣",Yunlin County
317655,11554,329209,421904,566351,74.5,78.03,118189,199466,"嘉義縣",Chiayi County
651211,19313,670524,826288,1117225,73.96,81.15,229284,421927,"臺南縣",Tainan County
728202,21903,750105,919717,1242420,74.03,81.56,302937,425265,"高雄縣",Kaohsiung County
515117,13383,528500,669646,897336,74.63,78.92,215796,299321,"屏東縣",Pingtung County
116585,3198,119783,180255,242541,74.32,66.45,76382,40203,"臺東縣",Taitung County
179542,4523,184065,259334,349507,74.2,70.98,126041,53501,"花蓮縣",Hualien County
44801,1213,46014,69545,93690,74.23,66.16,22639,22162,"澎湖縣",Penghu County
222565,4996,227561,290439,391188,74.25,78.35,132289,90276,"基隆市",Keelung City
215742,5143,220885,271967,364552,74.6,81.22,118924,96818,"新竹市",Hsinchu City
564193,10566,574759,710555,983143,72.27,80.89,297098,267095,"臺中市",Taichung City
152878,2905,155783,193458,261233,74.06,80.53,67176,85702,"嘉義市",Chiayi City
435183,8247,443430,547903,736190,74.42,80.93,183786,251397,"臺南市",Tainan City
28134,1069,29203,45353,60973,74.38,64.39,26433,1701,"金門縣",Jinmen County
4308,117,4425,6739,9158,73.59,65.66,4060,248,"連江縣",Lianjiang County
