ValidBallot,InvalBallot,TotalVote,EligVoter,TotalPop,PerEligVoter,PerActVote,"朱立倫 Eric Chu,王如玄 Wang Ju-hsuan: Kuo.Min.Tang","宋楚瑜 James Soong,徐欣瑩 Hsu Hsin-ying: Peoples.First.Party","蔡英文 Tsai Ing-wen,陳建仁 Chen Chien-jen: Dem.Prog.Party",AName,ANameE
12284970,163332,12448302,18782991,23483793,79.98,66.27,3813365,1576861,6894744,全國,National
2127748,26481,2154229,3204367,3969855,80.72,67.23,709374,252486,1165888,新北市,New Taipei City
1506756,18117,1524873,2254324,2778512,81.13,67.64,391823,159765,955168,高雄市,Kaohsiung City
1457678,22540,1480218,2175986,2702809,80.51,68.03,546491,153804,757383,臺北市,Taipei City
1442096,19800,1461896,2138519,2742503,77.98,68.36,430005,218810,793281,臺中市,Taichung City
1073104,11898,1085002,1627598,2102513,77.41,66.66,369013,156518,547573,桃園市,Taoyuan City
993236,12457,1005693,1528246,1885390,81.06,65.81,219196,103432,670608,臺南市,Tainan City
670660,10921,681581,1022962,1288696,79.38,66.63,193117,98807,378736,彰化縣,Changhua County
449356,5595,454951,689170,841669,81.88,66.01,121291,42768,285297,屏東縣,Pingtung County
345125,4997,350122,566207,699793,80.91,61.84,86047,40236,218842,雲林縣,Yunlin County
287028,3652,290680,448520,564111,79.51,64.81,107779,48788,130461,苗栗縣,Miaoli County
279807,4295,284102,430885,520119,82.84,65.93,65425,31469,182913,嘉義縣,Chiayi County
268136,3803,271939,412731,541527,76.22,65.89,94603,59510,114023,新竹縣,Hsinchu County
260576,3649,264225,415122,509738,81.44,63.65,83604,40868,136104,南投縣,Nantou County
233302,3188,236490,369211,458070,80.6,64.05,59216,29288,144798,宜蘭縣,Yilan County
221355,3138,224493,328580,433774,75.75,68.32,71771,36198,113386,新竹市,Hsinchu City
193714,2432,196146,306548,372226,82.36,63.99,68357,31955,93402,基隆市,Keelung City
154843,2342,157185,267862,332033,80.67,58.68,73894,23751,57198,花蓮縣,Hualien County
138891,1492,140383,210758,270415,77.94,66.61,38822,16926,83143,嘉義市,Chiayi City
97663,1208,98871,179547,222645,80.64,55.07,43581,16565,37517,臺東縣,Taitung County
42623,643,43266,84222,102317,82.31,51.37,12564,8401,21658,澎湖縣,Penghu County
36805,599,37404,111386,132532,84.04,33.58,24327,5852,6626,金門縣,Jinmen County
4468,85,4553,10240,12546,81.62,44.46,3065,664,739,連江縣,Lianjiang County
