ValidBallot,InvalBallot,TotalVote,EligVoter,TotalPop,PerEligVoter,PerActVote,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew: Kuo.Min.Tang","謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang: Dem.Prog.Party",AName,ANameE
13103963,117646,13221609,17321622,22925311,75.56,76.33,7659014,5444949,全國,National
2226334,21169,2247503,2878477,3789488,75.96,78.08,1359419,866915,臺北縣,Taipei County
1604802,12807,1617609,2042805,2625359,77.81,79.19,1011546,593256,臺北市,Taipei City
1073018,10330,1083348,1396390,1928968,72.39,77.58,693602,379416,桃園縣,Taoyuan County
909619,7112,916731,1163546,1518568,76.62,78.79,469252,440367,高雄市,Kaohsiung City
859404,8761,868165,1135237,1548435,73.32,76.47,505698,353706,臺中縣,Taichung County
728834,7558,736392,981262,1313709,74.69,75.05,419700,309134,彰化縣,Changhua County
727233,5859,733092,953610,1243944,76.66,76.88,353333,373900,高雄縣,Kaohsiung County
631160,5614,636774,854240,1105079,77.3,74.54,276751,354409,臺南縣,Tainan County
592730,5836,598566,769926,1052946,73.12,77.74,365979,226751,臺中市,Taichung City
497100,3823,500923,679205,889806,76.33,73.75,247305,249795,屏東縣,Pingtung County
439849,3843,443692,578159,763489,75.73,76.74,223034,216815,臺南市,Tainan City
387263,3451,390714,557704,725949,76.82,70.06,187705,199558,雲林縣,Yunlin County
319864,2974,322838,420176,559802,75.06,76.83,227069,92795,苗栗縣,Miaoli County
306436,2936,309372,427808,551498,77.57,72.32,139603,166833,嘉義縣,Chiayi County
289585,2467,292052,404968,533494,75.91,72.12,179630,109955,南投縣,Nantou County
281623,2723,284346,358433,494225,72.52,79.33,208445,73178,新竹縣,Hsinchu County
254651,1991,256642,346921,460193,75.39,73.98,130951,123700,宜蘭縣,Yilan County
225564,2036,227600,289862,397577,72.91,78.52,145930,79634,新竹市,Hsinchu City
224889,1701,226590,297794,390188,76.32,76.09,152327,72562,基隆市,Keelung City
177607,1970,179577,260820,343610,75.91,68.85,137604,40003,花蓮縣,Hualien County
152155,1154,153309,200834,272804,73.62,76.34,79713,72442,嘉義市,Chiayi City
111382,977,112359,177843,233954,76.02,63.18,81668,29714,臺東縣,Taitung County
43218,363,43581,72170,92157,78.31,60.39,25037,18181,澎湖縣,Penghu County
35094,172,35266,65572,80191,81.77,53.78,33384,1710,金門縣,Jinmen County
4549,19,4568,7860,9878,79.57,58.12,4329,220,連江縣,Lianjiang County
