ValidBallot,InvalBallot,TotalVote,EligVoter,TotalPop,PerEligVoter,PerActVote,"宋楚瑜 James Soong,林瑞雄 Lin Ruey-shiung: Peoples.First.Party","馬英九 Ma Ying-jeou,吳敦義 Wu Den-yih: Kuo.Min.Tang","蔡英文 Tsai Ing-wen,蘇嘉全 Su Jia-chyuan: Dem.Prog.Party",AName,ANameE
13354305,97711,13452016,18086455,23224912,77.88,74.38,369588,6891139,6093578,全國,National
2318493,15215,2333708,3074849,3916451,78.51,75.9,65269,1245673,1007551,新北市,New Taipei City
1653088,10944,1664032,2192005,2774470,79.01,75.91,39469,730461,883158,高雄市,Kaohsiung City
1604730,9669,1614399,2102664,2650968,79.32,76.78,41448,928717,634565,臺北市,Taipei City
1519100,9953,1529053,2018158,2664394,75.75,75.76,48030,792334,678736,臺中市,Taichung City
1117386,7610,1124996,1506311,2013305,74.82,74.69,32927,639151,445308,桃園縣,Taoyuan County
1093572,8090,1101662,1485047,1876960,79.12,74.18,27066,435274,631232,臺南市,Tainan City
731440,7367,738807,1005714,1303039,77.18,73.46,21403,369968,340069,彰化縣,Changhua County
492855,4571,497426,684517,864529,79.18,72.67,9562,211571,271722,屏東縣,Pingtung County
383694,4348,388042,563034,713556,78.91,68.92,9662,159891,214141,雲林縣,Yunlin County
322961,2600,325561,436219,562010,77.62,74.63,9597,206200,107164,苗栗縣,Miaoli County
309773,3052,312825,431588,537942,80.23,72.48,7364,120946,181463,嘉義縣,Chiayi County
290506,2165,292671,411482,522807,78.71,71.13,8726,158703,123077,南投縣,Nantou County
290137,2176,292313,384261,517641,74.23,76.07,9599,190797,89741,新竹縣,Hsinchu County
257304,2437,259741,358059,459061,78,72.54,6652,115496,135156,宜蘭縣,Yilan County
234576,1628,236204,312118,420052,74.3,75.68,7216,134728,92632,新竹市,Hsinchu City
216389,1414,217803,302139,379927,79.53,72.09,8533,128294,79562,基隆市,Keelung City
169019,1570,170589,263888,336838,78.34,64.64,6359,118815,43845,花蓮縣,Hualien County
150288,973,151261,205711,271526,75.76,73.53,4042,69535,76711,嘉義市,Chiayi City
109553,1019,110572,178938,228290,78.38,61.79,3313,72823,33417,臺東縣,Taitung County
45378,543,45921,77817,97157,80.09,59.01,2082,22579,20717,澎湖縣,Penghu County
38859,316,39175,83949,103883,80.81,46.67,990,34676,3193,金門縣,Jinmen County
5204,51,5255,7987,10106,79.03,65.79,279,4507,418,連江縣,Lianjiang County
