ANameE,Year,Votes,Party,TotalVote,Perc,TotalPop,PercIB,PercAV
National,1996,5813699,KMT,10883279,53.419,21311885,1.077,76.04
Taipei City,1996,541721,KMT,1404951,38.558,2695294,0.891,76.26
Kaohsiung City,1996,371391,KMT,740735,50.138,1517289,0.957,77.79
Taipei County,1996,793718,KMT,1661034,47.785,3858942,1.028,76.69
Yilan County,1996,126405,KMT,232239,54.429,452967,0.888,74.02
Taoyuan County,1996,423198,KMT,767709,55.125,1765854,1.297,77.91
Hsinchu County,1996,140321,KMT,215015,65.261,434218,1.419,79.53
Miaoli County,1996,202593,KMT,293767,68.964,546229,1.292,78.01
Taichung County,1996,426668,KMT,718425,59.389,1441975,1.267,80.06
Changhua County,1996,407820,KMT,649300,62.809,1271684,1.296,77.18
Nantou County,1996,86357,KMT,276788,31.2,532261,1.007,74.48
Yunlin County,1996,237871,KMT,363160,65.5,741745,1.196,69.63
Chiayi County,1996,180709,KMT,278146,64.969,566351,1.116,69.82
Tainan County,1996,347825,KMT,557333,62.409,1117225,1.02,75.02
Kaohsiung County,1996,374386,KMT,631468,59.288,1242420,0.983,78.04
Pingtung County,1996,289812,KMT,465393,62.273,897336,1.021,74.68
Taitung County,1996,74211,KMT,110170,67.36,242541,1.551,62.49
Hualien County,1996,104740,KMT,165891,63.138,349507,1.425,67.51
Penghu County,1996,25367,KMT,41077,61.755,93690,1.371,64.65
Keelung City,1996,97223,KMT,195154,49.819,391188,0.895,76.75
Hsinchu City,1996,93812,KMT,176882,53.036,364552,1.148,78.07
Taichung City,1996,195865,KMT,425718,46.008,983143,0.959,76.6
Chiayi City,1996,60628,KMT,130018,46.63,261233,0.869,74.24
Tainan City,1996,201436,KMT,359162,56.085,736190,0.873,76.5
Jinmen County,1996,8401,KMT,21066,39.879,60973,1.904,69.12
Lianjiang County,1996,1221,KMT,2678,45.594,9158,1.979,68.75
National,1996,2274586,DPP,10883279,20.9,21311885,1.077,76.04
Taipei City,1996,338895,DPP,1404951,24.121,2695294,0.891,76.26
Kaohsiung City,1996,200406,DPP,740735,27.055,1517289,0.957,77.79
Taipei County,1996,370728,DPP,1661034,22.319,3858942,1.028,76.69
Yilan County,1996,68044,DPP,232239,29.299,452967,0.888,74.02
Taoyuan County,1996,114901,DPP,767709,14.967,1765854,1.297,77.91
Hsinchu County,1996,23555,DPP,215015,10.955,434218,1.419,79.53
Miaoli County,1996,31036,DPP,293767,10.565,546229,1.292,78.01
Taichung County,1996,115034,DPP,718425,16.012,1441975,1.267,80.06
Changhua County,1996,116154,DPP,649300,17.889,1271684,1.296,77.18
Nantou County,1996,45556,DPP,276788,16.459,532261,1.007,74.48
Yunlin County,1996,68785,DPP,363160,18.941,741745,1.196,69.63
Chiayi County,1996,63101,DPP,278146,22.686,566351,1.116,69.82
Tainan County,1996,134969,DPP,557333,24.217,1117225,1.02,75.02
Kaohsiung County,1996,151943,DPP,631468,24.062,1242420,0.983,78.04
Pingtung County,1996,117283,DPP,465393,25.201,897336,1.021,74.68
Taitung County,1996,14506,DPP,110170,13.167,242541,1.551,62.49
Hualien County,1996,18383,DPP,165891,11.081,349507,1.425,67.51
Penghu County,1996,8070,DPP,41077,19.646,93690,1.371,64.65
Keelung City,1996,34256,DPP,195154,17.553,391188,0.895,76.75
Hsinchu City,1996,28281,DPP,176882,15.989,364552,1.148,78.07
Taichung City,1996,82416,DPP,425718,19.359,983143,0.959,76.6
Chiayi City,1996,42984,DPP,130018,33.06,261233,0.869,74.24
Tainan City,1996,84929,DPP,359162,23.646,736190,0.873,76.5
Jinmen County,1996,336,DPP,21066,1.595,60973,1.904,69.12
Lianjiang County,1996,35,DPP,2678,1.307,9158,1.979,68.75
National,1996,1603790,New Party,10883279,14.736,21311885,1.077,76.04
Taipei City,1996,346272,New Party,1404951,24.647,2695294,0.891,76.26
Kaohsiung City,1996,93691,New Party,740735,12.648,1517289,0.957,77.79
Taipei County,1996,292541,New Party,1661034,17.612,3858942,1.028,76.69
Yilan County,1996,15154,New Party,232239,6.525,452967,0.888,74.02
Taoyuan County,1996,128607,New Party,767709,16.752,1765854,1.297,77.91
Hsinchu County,1996,23342,New Party,215015,10.856,434218,1.419,79.53
