ANameE,Year,Votes,Party
National,1996,5813699,KMT
Taipei City,1996,541721,KMT
Kaohsiung City,1996,371391,KMT
Taipei County,1996,793718,KMT
Yilan County,1996,126405,KMT
Taoyuan County,1996,423198,KMT
Hsinchu County,1996,140321,KMT
Miaoli County,1996,202593,KMT
Taichung County,1996,426668,KMT
Changhua County,1996,407820,KMT
Nantou County,1996,86357,KMT
Yunlin County,1996,237871,KMT
Chiayi County,1996,180709,KMT
Tainan County,1996,347825,KMT
Kaohsiung County,1996,374386,KMT
Pingtung County,1996,289812,KMT
Taitung County,1996,74211,KMT
Hualien County,1996,104740,KMT
Penghu County,1996,25367,KMT
Keelung City,1996,97223,KMT
Hsinchu City,1996,93812,KMT
Taichung City,1996,195865,KMT
Chiayi City,1996,60628,KMT
Tainan City,1996,201436,KMT
Jinmen County,1996,8401,KMT
Lianjiang County,1996,1221,KMT
National,1996,2274586,DPP
Taipei City,1996,338895,DPP
Kaohsiung City,1996,200406,DPP
Taipei County,1996,370728,DPP
Yilan County,1996,68044,DPP
Taoyuan County,1996,114901,DPP
Hsinchu County,1996,23555,DPP
Miaoli County,1996,31036,DPP
Taichung County,1996,115034,DPP
Changhua County,1996,116154,DPP
Nantou County,1996,45556,DPP
Yunlin County,1996,68785,DPP
Chiayi County,1996,63101,DPP
Tainan County,1996,134969,DPP
Kaohsiung County,1996,151943,DPP
Pingtung County,1996,117283,DPP
Taitung County,1996,14506,DPP
Hualien County,1996,18383,DPP
Penghu County,1996,8070,DPP
Keelung City,1996,34256,DPP
Hsinchu City,1996,28281,DPP
Taichung City,1996,82416,DPP
Chiayi City,1996,42984,DPP
Tainan City,1996,84929,DPP
Jinmen County,1996,336,DPP
Lianjiang County,1996,35,DPP
National,1996,1603790,New Party
Taipei City,1996,346272,New Party
Kaohsiung City,1996,93691,New Party
Taipei County,1996,292541,New Party
Yilan County,1996,15154,New Party
Taoyuan County,1996,128607,New Party
Hsinchu County,1996,23342,New Party
Miaoli County,1996,26459,New Party
